Rank, H1B Visa Sponsor, Job Title, Number of LCA  *, Average Salary
70,Indidge Systems,Computer Programmer Analyst,5,"$54,988 "
17,Platinum Empire Group,Computer Programmer Analyst,35,"$55,000 "
100,Rnr Software,Computer Programmer Analyst,3,"$55,000 "
40,Benefitalign,Programmer/Analyst,9,"$55,000 "
43,Kantar Retail America,Programmer/Analyst,8,"$55,000 "
156,Mariner Investment Group,Programmer/Analyst,2,"$55,000 "
156,Starcom Worldwide,Programmer/Analyst,2,"$55,000 "
197,Comm/net,Software Test Engineer,1,"$55,000 "
197,Primoris Systems,Software Test Engineer,1,"$55,000 "
197,Midtronics,Software Test Engineer,1,"$55,000 "
204,C2s Technologies,Data Analyst,2,"$55,000 "
204,Texas Southern University,Data Analyst,2,"$55,000 "
188,Tru Solution Systems,Business Analyst,9,"$55,004 "
133,Logic House,Computer Programmer Analyst,2,"$55,141 "
196,Ascendum Solutions,Software Test Engineer,1,"$55,141 "
58,Innovative Consulting Solutions,Application Developer,4,"$55,157 "
106,Hiracle,Computer Programmer,17,"$55,296 "
47,Globalpoint,Qa Analyst,8,"$55,460 "
189,Invensys,Programmer Analyst,60,"$55,499 "
121,Logical Paradigm,Business Analyst,13,"$55,576 "
46,Promantis,Qa Analyst,8,"$55,578 "
114,Renowned,Database Administrator,6,"$55,800 "
195,Lg Electronics Alabama,Software Test Engineer,1,"$55,848 "
194,Sanra Solutions,Database Administrator,4,"$55,883 "
201,Stiaos Technologies,Systems Analyst,11,"$55,926 "
203,Ames It And Numeric Solutions,Data Analyst,2,"$56,000 "
155,Kroll Associates,Programmer/Analyst,2,"$56,056 "
182,Vectra Infosys,Programmer Analyst,63,"$56,117 "
136,Cloud Hybrid Technologies,Software Developer,21,"$56,279 "
202,Peopleaxis,Data Analyst,2,"$56,285 "
59,Ssb Software Technologies,Computer Programmer,30,"$56,378 "
53,Anjana Software Solutions,Computer Programmer Analyst,10,"$56,380 "
107,Torana,Software Developer,26,"$56,402 "
58,It Spin,Computer Programmer,30,"$56,445 "
25,Nemo It Solutions,Programmer Analyst,170,"$56,447 "
213,American Information Technology,Software Developer,15,"$56,465 "
112,Skymax Industries,Developer,2,"$56,500 "
101,Adecco Technical,Data Analyst,3,"$56,507 "
112,Bona Fide Management,Computer Programmer,16,"$56,531 "
13,Ust Global,Software Developer,88,"$56,609 "
86,Deawm Distributors,Programmer/Analyst,3,"$56,667 "
100,Sanra Solutions,Data Analyst,3,"$56,667 "
27,Pike Solutions,Programmer Analyst,167,"$56,683 "
69,Hiracle,Computer Programmer Analyst,5,"$56,704 "
71,Usr Systems,Computer Programmer,25,"$56,776 "
99,Admarketplace,Data Analyst,3,"$56,917 "
144,Infoshare Systems,Business Analyst,11,"$56,947 "
91,Polakams,Qa Analyst,5,"$57,000 "
200,Varnar,Data Analyst,2,"$57,000 "
217,Emaestro Technologies,Business Analyst,8,"$57,125 "
180,Cosmic-I,Java Developer,3,"$57,131 "
137,Armstrong Technologies,Business Analyst,12,"$57,133 "
132,Human Resource And Knowledge,Computer Programmer,14,"$57,179 "
117,Innovative Consulting Solutions,Systems Analyst,21,"$57,258 "
169,Cloud Big Data Technologies,Software Developer,18,"$57,335 "
113,Avant Systems,Database Administrator,6,"$57,350 "
90,It Cats,Qa Analyst,5,"$57,357 "
214,Armo Consultants,Computer Systems Analyst,6,"$57,402 "
78,Virtual Matrix,Computer Programmer Analyst,4,"$57,500 "
154,Citco Fund Services (Usa),Programmer/Analyst,2,"$57,500 "
79,Vensai Technologies,Software Test Engineer,2,"$57,500 "
199,Bally Gaming,Data Analyst,2,"$57,500 "
166,Metanoia Solutions,Business Analyst,10,"$57,554 "
142,Infosmart Systems,Programmer Analyst,73,"$57,628 "
193,Sigilinfotech,Database Administrator,4,"$57,750 "
102,Devise Soft,Computer Programmer,18,"$57,756 "
112,Infoshare Systems,Database Administrator,6,"$57,853 "
106,Opensoft,Business Analyst,14,"$57,857 "
192,Delta Information Systems,Database Administrator,4,"$57,875 "
85,Bright Shine Business Solutions,Software Developer,31,"$58,000 "
90,Delta System & Software,Software Developer,30,"$58,000 "
71,Bdsn International,Business Analyst,20,"$58,000 "
68,Zerosnones,Software Developer,35,"$58,029 "
11,Etelligent Group,Programmer/Analyst,44,"$58,053 "
12,Identity And Access Solutions,Programmer/Analyst,42,"$58,053 "
59,Nmk Global,Qa Analyst,7,"$58,088 "
136,Platys Group,Business Analyst,12,"$58,183 "
117,Vividiansoft,Qa Analyst,4,"$58,209 "
105,Techpillars,Business Analyst,14,"$58,211 "
105,Jp Consulting,Computer Programmer,17,"$58,235 "
163,Aon Service,Application Developer,2,"$58,282 "
198,Finovera,Data Analyst,2,"$58,344 "
57,Tsq Systems,Computer Programmer Analyst,9,"$58,365 "
191,Cougar Tech,Database Administrator,4,"$58,371 "
135,Cautela Institute Of Informatics And Technology,Software Developer,21,"$58,384 "
132,Opensoft,Computer Programmer Analyst,2,"$58,400 "
10,Birlasoft,Systems Analyst,125,"$58,429 "
153,The Advisory Board Company,Programmer/Analyst,2,"$58,500 "
197,Pan Oceanic Chartering,Data Analyst,2,"$58,500 "
45,Pyramid Technology Solutions,Database Administrator,12,"$58,507 "
187,Ohm Tech,Business Analyst,9,"$58,556 "
110,Emeteors,Programmer Analyst,84,"$58,560 "
22,Cymansys Solutions,Data Analyst,7,"$58,571 "
152,Spring 11,Programmer/Analyst,2,"$58,594 "
96,Param Consulting Services,Programmer Analyst,91,"$58,621 "
144,Emaestro Technologies,Programmer Analyst,72,"$58,632 "
179,Ebliz Solutions,Software Developer,17,"$58,647 "
157,Charter Global,Computer Programmer,12,"$58,750 "
151,Wilshire Associates,Programmer/Analyst,2,"$58,750 "
89,Embtel,Qa Analyst,5,"$58,760 "
194,B & C Transit,Software Test Engineer,1,"$58,760 "
95,Netline Technologies,Software Developer,29,"$58,828 "
19,Strategic Resources International,Programmer Analyst,183,"$58,836 "
58,Arvytech,Qa Analyst,7,"$58,857 "
4,C2s Technologies,Software Test Engineer,22,"$58,864 "
29,Saras America,Software Developer,58,"$58,917 "
111,Cosmos Granite (East),Developer,2,"$58,954 "
201,Armstrong Technologies,Computer Programmer Analyst,1,"$59,000 "
184,Invensys,Computer Systems Analyst,7,"$59,009 "
168,Infomerica,Qa Analyst,3,"$59,031 "
13,Susash Consulting Services,Programmer/Analyst,37,"$59,041 "
21,Verans Business Solutions,Qa Analyst,13,"$59,046 "
162,Keytroller,Application Developer,2,"$59,093 "
66,Keypixel Software Solutions,Programmer Analyst,107,"$59,105 "
190,Lethya Group,Database Administrator,4,"$59,108 "
181,United Software,Computer Programmer,10,"$59,112 "
134,Nitco,Systems Analyst,17,"$59,139 "
169,Bell Info Solutions,Programmer Analyst,65,"$59,237 "
193,Agiletal,Computer Programmer,9,"$59,262 "
21,Chemtex Environmental Laboratory,Systems Analyst,77,"$59,275 "
85,Kantar Retail,Programmer/Analyst,3,"$59,280 "
217,Protech It Resources,Computer Programmer,8,"$59,288 "
197,Vsquare Infotech,Programmer Analyst,58,"$59,306 "
121,First Tek,Software Developer,24,"$59,363 "
45,Objects On Net,Qa Analyst,8,"$59,375 "
216,Ecom Consulting,Business Analyst,8,"$59,376 "
201,Anitsys,Programmer Analyst,57,"$59,386 "
98,Cem Technology,Data Analyst,3,"$59,400 "
134,Softpros,Computer Systems Analyst,10,"$59,455 "
188,Business Intelli Solutions,Programmer Analyst,60,"$59,475 "
169,Element Technologies,Computer Programmer,11,"$59,490 "
61,Ebs-Minds It,Computer Systems Analyst,23,"$59,497 "
30,Logan Data,Qa Analyst,10,"$59,570 "
135,Talentedge,Business Analyst,12,"$59,583 "
200,Donato Technologies,Systems Analyst,11,"$59,586 "
158,American Technology Labs,Systems Analyst,14,"$59,607 "
216,Trendmark,Computer Programmer,8,"$59,608 "
134,Protocol Info Tech,Business Analyst,12,"$59,616 "
32,Innovate Solutions,Computer Programmer,45,"$59,661 "
24,Global It Solutions Usi,Developer,7,"$59,729 "
141,Ssb Systems,Programmer Analyst,73,"$59,768 "
143,Oberon It,Database Administrator,5,"$59,784 "
5,Euclid Technologies,Qa Analyst,31,"$59,791 "
214,Azhvas,Programmer Analyst,55,"$59,818 "
90,Us It Solutions,Business Analyst,16,"$59,827 "
78,Vision Technology Solutions,Software Test Engineer,2,"$59,925 "
58,Midland Credit Management,Data Analyst,4,"$59,962 "
168,Master Informatix Systems,Computer Programmer,11,"$59,992 "
51,Megatrendz Media Usa,Programmer Analyst,130,"$60,000 "
64,Magnus Software Solutions,Programmer Analyst,112,"$60,000 "
71,Idol Solutions,Programmer Analyst,103,"$60,000 "
175,Lorsiv Technologies,Programmer Analyst,64,"$60,000 "
109,Protocol Info Tech,Software Engineer,37,"$60,000 "
195,Cdrp Technologies,Software Engineer,22,"$60,000 "
214,It Rysources,Software Engineer,20,"$60,000 "
42,Polygon It Solutions,Software Developer,45,"$60,000 "
65,Arch International Group,Software Developer,36,"$60,000 "
152,Technovision Solution,Software Developer,20,"$60,000 "
159,Solgenie Technologies,Software Developer,19,"$60,000 "
103,Gss Infotech,Systems Analyst,23,"$60,000 "
181,Cdrp Technologies,Systems Analyst,12,"$60,000 "
24,Karwell Technologiies,Computer Programmer,55,"$60,000 "
46,Tap It Services,Computer Programmer,35,"$60,000 "
93,Data Warehouse Labs,Computer Programmer,20,"$60,000 "
119,Primasoft,Computer Programmer,15,"$60,000 "
156,International Technologies Pro,Computer Programmer,12,"$60,000 "
191,Vis Software Solutions,Computer Programmer,9,"$60,000 "
191,The Principal Consulting,Computer Programmer,9,"$60,000 "
59,Involgixs,Business Analyst,22,"$60,000 "
68,Marvelltech,Business Analyst,20,"$60,000 "
68,Santec Resources,Business Analyst,20,"$60,000 "
68,Svv Infotech,Business Analyst,20,"$60,000 "
76,Srnl International,Business Analyst,19,"$60,000 "
86,Iblesoft,Business Analyst,17,"$60,000 "
142,Iqlogg,Business Analyst,11,"$60,000 "
142,Atri Softech,Business Analyst,11,"$60,000 "
165,Maxima Consulting,Business Analyst,10,"$60,000 "
213,Elite Solutions,Business Analyst,8,"$60,000 "
213,Tech Matrix,Business Analyst,8,"$60,000 "
213,Health Information Management,Business Analyst,8,"$60,000 "
33,Interface Systems,Computer Systems Analyst,39,"$60,000 "
97,Ameritech Global,Computer Systems Analyst,15,"$60,000 "
123,Agal Solutions,Computer Systems Analyst,11,"$60,000 "
44,Global Data Mart,Developer,4,"$60,000 "
109,Aegis Company,Developer,2,"$60,000 "
109,Objectnet Technologies,Developer,2,"$60,000 "
44,Accenz,Database Administrator,12,"$60,000 "
51,Triesten Technologies,Database Administrator,11,"$60,000 "
68,Greenbyte Technologies,Database Administrator,9,"$60,000 "
80,Elite Solutions,Database Administrator,8,"$60,000 "
80,American Technology Labs,Database Administrator,8,"$60,000 "
92,Accel International,Database Administrator,7,"$60,000 "
109,Logic Bridge,Database Administrator,6,"$60,000 "
109,Virtuoso Technologies,Database Administrator,6,"$60,000 "
109,Wise Equation Solutions,Database Administrator,6,"$60,000 "
138,C-Vision,Database Administrator,5,"$60,000 "
138,Ameritech Global,Database Administrator,5,"$60,000 "
138,Erp Analysts,Database Administrator,5,"$60,000 "
138,Ameritch Global,Database Administrator,5,"$60,000 "
138,Shubh Solutions,Database Administrator,5,"$60,000 "
34,Acwiron Global Solutions,Computer Programmer Analyst,18,"$60,000 "
34,Softpath Technologies,Computer Programmer Analyst,18,"$60,000 "
77,Makdi Software Services,Computer Programmer Analyst,4,"$60,000 "
128,Virtuoso Technologies,Computer Programmer Analyst,2,"$60,000 "
128,Najsoft,Computer Programmer Analyst,2,"$60,000 "
128,Kyra Solutions (Fka: Kyra Infotech),Computer Programmer Analyst,2,"$60,000 "
128,Sun Power Consulting,Computer Programmer Analyst,2,"$60,000 "
193,Innovate Solutions,Computer Programmer Analyst,1,"$60,000 "
193,Kyra Infotech,Computer Programmer Analyst,1,"$60,000 "
193,Mind Tech,Computer Programmer Analyst,1,"$60,000 "
193,Business Pointers,Computer Programmer Analyst,1,"$60,000 "
193,Saiven Technologies,Computer Programmer Analyst,1,"$60,000 "
193,Vigna Solutions,Computer Programmer Analyst,1,"$60,000 "
193,Vsharp Global,Computer Programmer Analyst,1,"$60,000 "
193,Attainica,Computer Programmer Analyst,1,"$60,000 "
58,Sourceinfotech,Java Developer,8,"$60,000 "
100,Ecloud Labs,Java Developer,5,"$60,000 "
130,Om Tek,Java Developer,4,"$60,000 "
179,Iit Work Force,Java Developer,3,"$60,000 "
57,Iit Work Force,Application Developer,4,"$60,000 "
90,It Experts Usa,Application Developer,3,"$60,000 "
159,Load Delivered Logistics,Application Developer,2,"$60,000 "
159,Pollux Consultancy Services,Application Developer,2,"$60,000 "
159,Varnar,Application Developer,2,"$60,000 "
145,Big Spaceship,Programmer/Analyst,2,"$60,000 "
145,Mortgage Industry Advisory,Programmer/Analyst,2,"$60,000 "
145,Dumac,Programmer/Analyst,2,"$60,000 "
145,Competition Dynamics,Programmer/Analyst,2,"$60,000 "
145,Optimedia International Us,Programmer/Analyst,2,"$60,000 "
145,Topright,Programmer/Analyst,2,"$60,000 "
25,Masterex Technologies,Qa Analyst,12,"$60,000 "
37,Microexcel,Qa Analyst,9,"$60,000 "
37,C-Vision,Qa Analyst,9,"$60,000 "
69,Xpert Technologies,Qa Analyst,6,"$60,000 "
87,Key Business Solutions,Qa Analyst,5,"$60,000 "
87,Excela Solutions,Qa Analyst,5,"$60,000 "
115,Invensys Pro,Qa Analyst,4,"$60,000 "
115,Procal Technologies,Qa Analyst,4,"$60,000 "
165,Teknosys,Qa Analyst,3,"$60,000 "
165,Suswee Infotech,Qa Analyst,3,"$60,000 "
165,Expandtree,Qa Analyst,3,"$60,000 "
14,Allabouttech,Software Test Engineer,7,"$60,000 "
14,Apptad,Software Test Engineer,7,"$60,000 "
23,Lorven Bpm Technologies,Software Test Engineer,5,"$60,000 "
32,Cdrp Technologies,Software Test Engineer,4,"$60,000 "
32,Data Solutions,Software Test Engineer,4,"$60,000 "
77,Piezos Technology Solutions,Software Test Engineer,2,"$60,000 "
188,Entellects,Software Test Engineer,1,"$60,000 "
188,Methodica Technologies,Software Test Engineer,1,"$60,000 "
188,Horizon Information Technology Solutions,Software Test Engineer,1,"$60,000 "
188,Opensoft,Software Test Engineer,1,"$60,000 "
188,Yotta Systems,Software Test Engineer,1,"$60,000 "
188,S9 Technologies,Software Test Engineer,1,"$60,000 "
7,Accenz,Data Analyst,16,"$60,000 "
29,Quardent,Data Analyst,6,"$60,000 "
39,C-Vision,Data Analyst,5,"$60,000 "
57,Global It,Data Analyst,4,"$60,000 "
95,Crom Technology,Data Analyst,3,"$60,000 "
95,Xsunt,Data Analyst,3,"$60,000 "
95,Tek Erp,Data Analyst,3,"$60,000 "
188,Elite Solutions,Data Analyst,2,"$60,000 "
188,Iqr Consulting,Data Analyst,2,"$60,000 "
188,Talent9,Data Analyst,2,"$60,000 "
188,Sarayu Consultants,Data Analyst,2,"$60,000 "
188,Innovative Intelligent Solutions,Data Analyst,2,"$60,000 "
188,Arcsoft,Data Analyst,2,"$60,000 "
188,Procure Professionals It,Data Analyst,2,"$60,000 "
188,Emetric,Data Analyst,2,"$60,000 "
188,Ecom Infosystems,Data Analyst,2,"$60,000 "
11,Shubh Solutions,Software Test Engineer,11,"$60,001 "
144,Tek Services,Computer Programmer,13,"$60,009 "
43,Nexient,Developer,4,"$60,012 "
187,Element Technologies,Data Analyst,2,"$60,015 "
9,Yash & Lujan Consulting,Programmer/Analyst,59,"$60,016 "
181,It Echelon,Programmer Analyst,63,"$60,025 "
8,Softlabz,Computer Systems Analyst,92,"$60,027 "
56,Applet Systems,Data Analyst,4,"$60,033 "
34,Marvelltech,Programmer Analyst,159,"$60,035 "
14,T2m Consulting Services,Programmer Analyst,214,"$60,037 "
83,Adroit Associates,Business Analyst,18,"$60,039 "
213,Sigma Software,Computer Systems Analyst,6,"$60,067 "
68,Spr Software Systems,Developer,3,"$60,067 "
186,Giact Systems,Data Analyst,2,"$60,067 "
9,Geo Logic Systems,Computer Programmer,106,"$60,075 "
187,Digital Minds Technologies,Programmer Analyst,60,"$60,083 "
56,Applab Systems,Business Analyst,23,"$60,087 "
158,Ascedia,Application Developer,2,"$60,091 "
5,Lorshi Systems,Computer Systems Analyst,105,"$60,110 "
178,Delta Information Systems,Software Developer,17,"$60,118 "
61,Intalent,Programmer Analyst,116,"$60,129 "
183,Smilesys,Computer Systems Analyst,7,"$60,133 "
94,Anji Technologies,Data Analyst,3,"$60,133 "
119,Microinfo,Programmer Analyst,81,"$60,140 "
140,Logixhub,Systems Analyst,16,"$60,140 "
102,Whiz It Solutions,Systems Analyst,23,"$60,144 "
44,Gold Coast It Solutions,Systems Analyst,41,"$60,170 "
73,Amzur Technologies,Software Developer,34,"$60,176 "
43,Tnp Systems,Database Administrator,12,"$60,183 "
61,Excel. Est,Computer Programmer Analyst,7,"$60,185 "
76,Accenz,Systems Analyst,30,"$60,188 "
168,Vdriveinfo,Computer Systems Analyst,8,"$60,200 "
86,Softhq,Qa Analyst,5,"$60,200 "
31,Agreeya Solutions,Software Test Engineer,4,"$60,200 "
184,Kyro4 Solutions,Data Analyst,2,"$60,200 "
184,Pantar Solutions,Data Analyst,2,"$60,200 "
11,Platinum Empire Group,Computer Systems Analyst,81,"$60,209 "
35,Iblesoft,Software Engineer,88,"$60,227 "
55,Stem Xpert,Software Engineer,61,"$60,229 "
143,Trisync Technologies,Computer Programmer,13,"$60,231 "
67,Polaris Consulting And Services,Developer,3,"$60,231 "
10,Prosoft Technologies,Computer Systems Analyst,85,"$60,235 "
101,Aikya Information Systems,Systems Analyst,23,"$60,250 "
23,Rlgh,Programmer/Analyst,18,"$60,250 "
21,Cogent Integrated Business Solutions,Computer Systems Analyst,51,"$60,256 "
133,Damian Consulting,Business Analyst,12,"$60,289 "
14,Accenz,Qa Analyst,18,"$60,297 "
132,Accenz,Business Analyst,12,"$60,300 "
133,Resourznet Solutions,Computer Systems Analyst,10,"$60,300 "
131,Shinewell Technologies,Systems Analyst,18,"$60,306 "
18,Alpha Business Consortium,Programmer/Analyst,21,"$60,310 "
215,International Computerware,Computer Programmer,8,"$60,313 "
24,Bened Software Services,Programmer/Analyst,16,"$60,320 "
9,Microinfo,Data Analyst,13,"$60,330 "
155,Adalisoft,Computer Programmer,12,"$60,333 "
32,Client Software Services,Computer Systems Analyst,39,"$60,333 "
164,Sysintelli,Qa Analyst,3,"$60,333 "
13,Vsquare Infotech,Business Analyst,68,"$60,338 "
212,Akt,Business Analyst,8,"$60,348 "
29,Lorshi Systems,Programmer Analyst,165,"$60,352 "
40,Sunfix Technologies,Computer Programmer,41,"$60,366 "
7,Sunray Enterprise,Programmer/Analyst,63,"$60,378 "
178,Alrek Business Solutions,Java Developer,3,"$60,380 "
6,Vector Systems,Programmer/Analyst,63,"$60,381 "
56,Sparkpro Solutions,Systems Analyst,36,"$60,417 "
78,I 5 Tech,Computer Programmer,24,"$60,417 "
54,Bhrigus,Business Analyst,24,"$60,417 "
33,Arcus Technologies Dba Kat Tech Systems,Database Administrator,14,"$60,425 "
164,Smart It Frame,Business Analyst,10,"$60,440 "
127,Accelerant Software,Computer Programmer Analyst,2,"$60,466 "
11,Canvas Infotech,Business Analyst,74,"$60,482 "
79,Arvytech,Database Administrator,8,"$60,500 "
189,Expandtree,Database Administrator,4,"$60,500 "
67,Xaxis,Programmer/Analyst,4,"$60,500 "
76,Capricorn Systems,Software Test Engineer,2,"$60,500 "
54,American Infosys,Data Analyst,4,"$60,500 "
54,Itlize Global,Data Analyst,4,"$60,500 "
93,Optoro,Data Analyst,3,"$60,500 "
49,Spln International,Business Analyst,27,"$60,505 "
82,Genpact,Business Analyst,18,"$60,517 "
49,Cyberbrains,Computer Systems Analyst,27,"$60,519 "
186,360 It Professionals,Business Analyst,9,"$60,521 "
69,Mansai,Computer Systems Analyst,21,"$60,523 "
163,Sage It,Qa Analyst,3,"$60,532 "
142,Arvytech,Computer Programmer,13,"$60,538 "
214,Mindsor,Computer Programmer,8,"$60,549 "
192,Alexys,Computer Programmer Analyst,1,"$60,549 "
39,Cosmic-I,Computer Programmer,41,"$60,550 "
163,Technocraft Solutions,Business Analyst,10,"$60,552 "
157,Sierra Infosys,Systems Analyst,14,"$60,566 "
140,Summitworks Technologies,Programmer Analyst,73,"$60,568 "
183,New York University School Of Medicine,Data Analyst,2,"$60,576 "
154,Technovators,Computer Programmer,12,"$60,583 "
60,M2m Technologies,Software Developer,38,"$60,596 "
126,Pegasys Systems & Technologies,Computer Programmer Analyst,2,"$60,600 "
165,Decisionwave,Software Engineer,26,"$60,604 "
37,Vensar Technology,Software Developer,47,"$60,606 "
210,Excerio,Systems Analyst,10,"$60,607 "
131,Saras America,Computer Programmer,14,"$60,614 "
26,Idb Admins,Database Administrator,18,"$60,617 "
