Rank,H1B Visa Sponsor,Job Title,Number of LCA,Average Salary
17,Astir It Solutions,Programmer Analyst,187,"$64,497 "
16,Estrada Consulting,Programmer Analyst,187,"$64,829 "
19,Strategic Resources International,Programmer Analyst,183,"$58,836 "
20,Gateway Group Technologies,Programmer Analyst,182,"$61,325 "
21,Hcl Global Systems,Programmer Analyst,179,"$74,823 "
22,Akvarr,Programmer Analyst,177,"$63,610 "
23,Logic Planet Cs,Programmer Analyst,174,"$61,253 "
4,Accenture,Business Analyst,173,"$78,410 "
24,Iblesoft,Programmer Analyst,172,"$61,222 "
25,Nemo It Solutions,Programmer Analyst,170,"$56,447 "
3,Oracle America,Software Developer,170,"$131,894 "
26,Ramp Technology Group,Programmer Analyst,169,"$71,278 "
11,Linkedin,Software Engineer,169,"$134,903 "
27,Pike Solutions,Programmer Analyst,167,"$56,683 "
28,Hadiamondstar Software Solutions,Programmer Analyst,166,"$63,407 "
29,Lorshi Systems,Programmer Analyst,165,"$60,352 "
30,I28 Technologies,Programmer Analyst,162,"$62,845 "
32,Northstar Group,Programmer Analyst,161,"$61,121 "
31,Spi Management Services,Programmer Analyst,161,"$67,602 "
33,Sapot Systems,Programmer Analyst,160,"$65,369 "
34,Marvelltech,Programmer Analyst,159,"$60,035 "
8,Advisean,Systems Analyst,156,"$68,476 "
13,Miracle Software Sysytems,Software Engineer,156,"$83,245 "
12,Motorola Mobility,Software Engineer,156,"$105,997 "
36,Ksoft Systems,Programmer Analyst,152,"$68,224 "
37,Kellton Tech,Programmer Analyst,151,"$69,092 "
39,Econtenti,Programmer Analyst,149,"$62,356 "
38,Niche Software Solutions,Programmer Analyst,149,"$65,433 "
40,Srs Consulting,Programmer Analyst,148,"$85,335 "
41,Everest Consulting Group,Programmer Analyst,146,"$73,096 "
14,Aim Big,Software Engineer,146,"$81,649 "
42,"Collabera,",Programmer Analyst,145,"$65,469 "
4,Prokarma,Software Developer,145,"$83,052 "
5,"Mastech, A Mastech Holdings Company",Software Developer,143,"$87,722 "
9,Rjt Compuquest,Systems Analyst,141,"$67,657 "
43,Ait Global,Programmer Analyst,140,"$79,300 "
15,Factset Research Systems,Software Engineer,139,"$105,281 "
4,Avani Technology Solutions,Computer Systems Analyst,138,"$62,168 "
44,Ness Usa,Programmer Analyst,138,"$84,301 "
16,Sbase Technologies,Software Engineer,137,"$72,688 "
46,Svv Infotech,Programmer Analyst,135,"$61,209 "
45,Sunera Technologies,Programmer Analyst,135,"$83,726 "
7,Lead It,Software Developer,132,"$67,153 "
6,Cyberthink,Software Developer,132,"$80,465 "
7,Onward Technologies,Computer Programmer,131,"$64,175 "
49,Computek Soulutions,Programmer Analyst,131,"$64,878 "
48,Isync Solutions,Programmer Analyst,131,"$65,015 "
47,Nga Group,Programmer Analyst,131,"$73,142 "
5,Deloitte Consulting,Business Analyst,131,"$76,446 "
17,Itech Us,Software Engineer,131,"$94,169 "
51,Megatrendz Media Usa,Programmer Analyst,130,"$60,000 "
50,Nexus It,Programmer Analyst,130,"$65,373 "
52,Vista Applied Solutions Group,Programmer Analyst,129,"$61,760 "
3,Persistent Systems,Computer Programmer Analyst,127,"$71,518 "
4,Qualcomm Technologies,Senior Software Engineer,127,"$115,113 "
11,Neumeric Technologies,Systems Analyst,123,"$68,667 "
55,Applab Systems,Programmer Analyst,122,"$62,906 "
4,Allied Informatics,Computer Programmer Analyst,122,"$63,193 "
54,Virgo,Programmer Analyst,122,"$66,953 "
53,Svam International,Programmer Analyst,122,"$68,834 "
18,Hitachi Consulting,Software Engineer,121,"$80,968 "
8,Horizon International Trd.,Computer Programmer,120,"$74,180 "
57,Akhsaya,Programmer Analyst,119,"$67,297 "
56,Kforce,Programmer Analyst,119,"$82,173 "
9,System Soft Technologies,Software Developer,119,"$97,128 "
59,Polaris Consulting And Services,Programmer Analyst,118,"$62,107 "
58,Scepter Technologies,Programmer Analyst,118,"$72,075 "
21,Coolsoft,Software Engineer,117,"$70,615 "
20,Frontier Technologies,Software Engineer,117,"$80,403 "
61,Intalent,Programmer Analyst,116,"$60,129 "
60,Bhrigus,Programmer Analyst,116,"$63,539 "
22,The Mathworks,Software Engineer,115,"$92,154 "
23,Clearlite,Software Engineer,114,"$67,046 "
63,Venturesoft Global,Programmer Analyst,113,"$62,975 "
1,Vedicsoft Solutions,Java Developer,113,"$66,458 "
62,Makeurcareer,Programmer Analyst,113,"$68,451 "
64,Magnus Software Solutions,Programmer Analyst,112,"$60,000 "
10,Software Paradigms International Group,Software Developer,111,"$69,739 "
25,Airbnb,Software Engineer,111,"$144,605 "
5,Tanisha Systems,Computer Programmer Analyst,110,"$71,000 "
65,Aplomb Technologies,Programmer Analyst,109,"$61,708 "
27,Intraedge,Software Engineer,109,"$74,133 "
26,Dropbox,Software Engineer,109,"$138,272 "
12,Sudhi Infomatics,Systems Analyst,108,"$68,194 "
2,Jpmorgan Chase,Application Developer,108,"$93,147 "
66,Keypixel Software Solutions,Programmer Analyst,107,"$59,105 "
28,Cedent Consulting,Software Engineer,107,"$67,096 "
11,Egen Solutions,Software Developer,107,"$82,845 "
9,Geo Logic Systems,Computer Programmer,106,"$60,075 "
6,Nihaki Systems,Computer Programmer Analyst,106,"$72,942 "
69,Redeemsoft,Programmer Analyst,105,"$64,429 "
68,Universal Software,Programmer Analyst,105,"$70,686 "
67,Medcomps,Programmer Analyst,105,"$72,538 "
13,Aspire Systems,Systems Analyst,105,"$78,797 "
70,Snw Infotech,Programmer Analyst,104,"$82,203 "
71,Idol Solutions,Programmer Analyst,103,"$60,000 "
29,Yelp,Software Engineer,103,"$124,944 "
73,Cavalier It,Programmer Analyst,102,"$69,871 "
72,Dgn Technologies,Programmer Analyst,102,"$83,165 "
75,Selsoft,Programmer Analyst,101,"$49,773 "
74,Sierra Infosys,Programmer Analyst,101,"$53,689 "
6,Wal-Mart Associates,Senior Software Engineer,101,"$139,948 "
76,Ybrant Technologies,Programmer Analyst,100,"$65,512 "
30,Visionet Systems,Software Engineer,100,"$66,708 "
77,Reliance It Services,Programmer Analyst,99,"$63,384 "
15,Camelot Integrated Solutions,Systems Analyst,98,"$64,551 "
80,Ariston Tek,Programmer Analyst,98,"$66,268 "
79,Quadrant Resource,Programmer Analyst,98,"$68,395 "
78,Ramps International,Programmer Analyst,98,"$79,776 "
83,Edge It,Programmer Analyst,97,"$60,697 "
82,Cyma Systems,Programmer Analyst,97,"$62,349 "
81,Ealearn,Programmer Analyst,97,"$62,876 "
31,Tabner,Software Engineer,97,"$85,419 "
10,M & R Consultants,Computer Programmer,96,"$76,914 "
85,Codesmart,Programmer Analyst,95,"$69,900 "
84,Techno Labs,Programmer Analyst,95,"$77,185 "
86,Quadrant 4 System,Programmer Analyst,94,"$71,511 "
6,Ved Software Services,Computer Systems Analyst,94,"$74,733 "
88,Forecast Management Solutions,Programmer Analyst,93,"$66,134 "
87,R2 Technologies,Programmer Analyst,93,"$66,647 "
16,Adaequare,Systems Analyst,93,"$67,836 "
8,Softlabz,Computer Systems Analyst,92,"$60,027 "
92,Softpath System,Programmer Analyst,92,"$65,087 "
18,Indus Valley Consultants,Systems Analyst,92,"$66,668 "
91,8k Miles Software Services,Programmer Analyst,92,"$67,149 "
17,Mphasis,Systems Analyst,92,"$68,407 "
11,Mercury Systems,Computer Programmer,92,"$68,441 "
90,Interactive Media Labs,Programmer Analyst,92,"$68,826 "
2,Sdlc Management,Java Developer,92,"$81,946 "
89,Konkasoft,Programmer Analyst,92,"$85,946 "
96,Param Consulting Services,Programmer Analyst,91,"$58,621 "
95,Palvai Global Services,Programmer Analyst,91,"$61,476 "
93,Vintech Solutions,Programmer Analyst,91,"$70,218 "
12,Raiser Technologies,Computer Programmer,90,"$48,433 "
33,Globallogic,Software Engineer,90,"$98,721 "
12,Randstad Technologies,Software Developer,90,"$102,414 "
97,Sysfore Technologies,Programmer Analyst,89,"$72,348 "
7,"Capital One, National Association",Senior Software Engineer,89,"$108,569 "
34,Cisco Systems,Software Engineer,89,"$119,344 "
13,Airysoft,Computer Programmer,88,"$52,456 "
7,Syrainfotek,Computer Programmer Analyst,88,"$64,187 "
99,Erp Analysts,Programmer Analyst,88,"$67,596 "
98,Prowise Solutions,Programmer Analyst,88,"$74,837 "
37,Unigo,Software Engineer,87,"$64,132 "
104,Infogen Software,Programmer Analyst,87,"$65,182 "
101,Seven Seas Technologies,Programmer Analyst,87,"$69,095 "
36,Cubic Technologies,Software Engineer,87,"$75,739 "
100,Dice It Solutions,Programmer Analyst,87,"$83,857 "
106,Techminds Group,Programmer Analyst,86,"$61,628 "
105,Global It,Programmer Analyst,86,"$65,302 "
8,Enterprise It Resources,Computer Programmer Analyst,86,"$71,787 "
15,Anagh Technologies,Software Developer,86,"$79,765 "
14,Epic Systems,Software Developer,86,"$145,116 "
10,Prosoft Technologies,Computer Systems Analyst,85,"$60,235 "
107,Infomerica,Programmer Analyst,85,"$63,067 "
9,Openwave Computing,Computer Systems Analyst,85,"$63,175 "
16,Lucent It Solutions,Software Developer,85,"$63,776 "
110,Emeteors,Programmer Analyst,84,"$58,560 "
109,Alpha Clinical Systems,Programmer Analyst,84,"$61,423 "
108,Ramsai Software Solutions,Programmer Analyst,84,"$61,600 "
8,Kpit Infosystems,Senior Software Engineer,84,"$65,209 "
114,Citadel Information Services,Programmer Analyst,83,"$63,296 "
113,Sat Solutions,Programmer Analyst,83,"$64,542 "
112,Svk Systems,Programmer Analyst,83,"$69,488 "
111,Pamten,Programmer Analyst,83,"$71,213 "
19,United It Solutions,Systems Analyst,82,"$61,423 "
115,Vaktech,Programmer Analyst,82,"$62,040 "
9,Intuit,Senior Software Engineer,82,"$146,320 "
119,Microinfo,Programmer Analyst,81,"$60,140 "
11,Platinum Empire Group,Computer Systems Analyst,81,"$60,209 "
118,Synapsis,Programmer Analyst,81,"$63,814 "
117,Ezen Computer Services,Programmer Analyst,81,"$64,269 "
116,Millennium Info Tech,Programmer Analyst,81,"$71,173 "
38,Alindus,Software Engineer,81,"$77,749 "
123,Nic Info Tek,Programmer Analyst,80,"$62,174 "
18,Inteletech Global,Software Developer,80,"$65,483 "
122,Stratedge,Programmer Analyst,80,"$66,600 "
121,Cogent Infotech,Programmer Analyst,80,"$69,038 "
120,Itech Analyst,Programmer Analyst,80,"$73,663 "
9,Samiti Technology,Computer Programmer Analyst,80,"$83,906 "
39,Pinterest,Software Engineer,80,"$127,703 "
20,Zusys,Systems Analyst,79,"$61,380 "
124,Esystems,Programmer Analyst,79,"$65,532 "
125,Spi Research And Development Services,Programmer Analyst,78,"$71,692 "
4,Fujitsu America,Database Administrator,78,"$79,547 "
21,Chemtex Environmental Laboratory,Systems Analyst,77,"$59,275 "
127,Object Technology Solutions,Programmer Analyst,77,"$64,060 "
10,Intone Networks,Business Analyst,77,"$67,529 "
126,Namitus Technologies,Programmer Analyst,77,"$71,510 "
130,Arcus Technologies Dba Kat Tech Systems,Programmer Analyst,76,"$62,020 "
129,Oncorre,Programmer Analyst,76,"$64,738 "
42,Skillsight,Software Engineer,76,"$66,763 "
128,Agility Technologies,Programmer Analyst,76,"$70,965 "
3,Techno-Comp,Programmer/Analyst,76,"$82,907 "
2,Cgi Technologies And Solutions,Programmer/Analyst,76,"$84,995 "
132,Dizer,Programmer Analyst,75,"$49,302 "
131,Lex Nimble Solutions,Programmer Analyst,75,"$77,587 "
11,Canvas Infotech,Business Analyst,74,"$60,482 "
136,"Essential Technologies,",Programmer Analyst,74,"$63,338 "
43,I-Link Solutions,Software Engineer,74,"$63,797 "
135,Data Systems Integration Group,Programmer Analyst,74,"$68,423 "
134,Cerebra Consulting,Programmer Analyst,74,"$68,878 "
15,Diligent Group,Computer Programmer,74,"$69,736 "
20,Megan Soft,Software Developer,74,"$70,489 "
19,Smart Works,Software Developer,74,"$74,084 "
133,Jrd Systems,Programmer Analyst,74,"$88,849 "
142,Infosmart Systems,Programmer Analyst,73,"$57,628 "
141,Ssb Systems,Programmer Analyst,73,"$59,768 "
140,Summitworks Technologies,Programmer Analyst,73,"$60,568 "
139,Logic Soft,Programmer Analyst,73,"$62,086 "
138,Object Data,Programmer Analyst,73,"$63,130 "
5,L&T Technology Services,Database Administrator,73,"$65,481 "
12,Softpath Technologies,Computer Systems Analyst,73,"$65,978 "
137,Systel Of Delaware,Programmer Analyst,73,"$66,274 "
144,Emaestro Technologies,Programmer Analyst,72,"$58,632 "
4,Triesten Technologies,Programmer/Analyst,72,"$61,667 "
143,Dataserv,Programmer Analyst,72,"$69,069 "
13,Silicon Staff It Services,Computer Systems Analyst,71,"$62,100 "
148,Webilent Technology,Programmer Analyst,71,"$67,809 "
147,Hallmark Global Technologies,Programmer Analyst,71,"$68,014 "
146,Techstar Consulting,Programmer Analyst,71,"$68,548 "
145,Microexcel,Programmer Analyst,71,"$75,887 "
22,Corematiq,Software Developer,70,"$51,371 "
151,Bitwise,Programmer Analyst,70,"$53,067 "
23,Only It Consulting,Systems Analyst,70,"$61,357 "
16,Advent Global Solutions,Computer Programmer,70,"$63,950 "
22,Sun Soft Technologies,Systems Analyst,70,"$65,227 "
150,Sriven Systems,Programmer Analyst,70,"$73,714 "
149,Ciber,Programmer Analyst,70,"$76,838 "
21,Iit Jobs,Software Developer,70,"$84,974 "
153,Premier It Solutions,Programmer Analyst,69,"$62,087 "
14,Kelly Maxson [duns#079237324],Computer Systems Analyst,69,"$64,668 "
152,Kastech Solutions,Programmer Analyst,69,"$68,217 "
10,Datamatics Global Services,Computer Programmer Analyst,69,"$71,337 "
45,Dotcom Team,Software Engineer,69,"$108,326 "
13,Vsquare Infotech,Business Analyst,68,"$60,338 "
158,Shubh Solutions,Programmer Analyst,68,"$61,618 "
17,Revision Technologies,Computer Programmer,68,"$62,407 "
23,Slri Solutions,Software Developer,68,"$63,853 "
157,Innovative Information Technologies,Programmer Analyst,68,"$65,005 "
156,Proswift  Consulting,Programmer Analyst,68,"$68,650 "
12,Asta Crs,Business Analyst,68,"$69,284 "
155,S&R Professionals L.P,Programmer Analyst,68,"$72,219 "
154,Idhasoft,Programmer Analyst,68,"$78,366 "
161,Clairvoyant Technosolutions,Programmer Analyst,67,"$62,731 "
6,Sree Infotech,Database Administrator,67,"$63,701 "
25,Agreeya Solutions,Software Developer,67,"$64,302 "
160,Sarayu Consultants,Programmer Analyst,67,"$67,382 "
24,Multivision,Software Developer,67,"$70,018 "
159,Vings Technologies,Programmer Analyst,67,"$71,852 "
46,Arista Networks,Software Engineer,67,"$124,171 "
166,International Software Systems,Programmer Analyst,66,"$60,891 "
165,Varnar,Programmer Analyst,66,"$62,226 "
164,"Thirthasoft,",Programmer Analyst,66,"$63,106 "
163,Zylog Systems,Programmer Analyst,66,"$64,321 "
162,Celer Systems,Programmer Analyst,66,"$68,371 "
15,Zensar Technologies,Computer Systems Analyst,66,"$92,368 "
11,Emc,Senior Software Engineer,66,"$109,847 "
169,Bell Info Solutions,Programmer Analyst,65,"$59,237 "
26,Quantum Integrators Group,Systems Analyst,65,"$62,742 "
168,Performance Resources Ny,Programmer Analyst,65,"$65,892 "
167,Lenora Systems,Programmer Analyst,65,"$68,375 "
17,Unify Solutions,Computer Systems Analyst,65,"$69,231 "
16,Openbox Solutions,Computer Systems Analyst,65,"$69,498 "
25,Savvy Info Systems,Systems Analyst,65,"$69,631 "
26,Yash & Lujan Consulting,Software Developer,65,"$70,977 "
50,Logistic Solutions,Software Engineer,65,"$81,193 "
49,Wayfair,Software Engineer,65,"$95,114 "
48,Symantec,Software Engineer,65,"$98,769 "
175,Lorsiv Technologies,Programmer Analyst,64,"$60,000 "
5,Synerzy Software Solutions,Programmer/Analyst,64,"$60,810 "
174,Softova,Programmer Analyst,64,"$61,292 "
173,Softech International Resources,Programmer Analyst,64,"$63,907 "
172,American Business Solutions,Programmer Analyst,64,"$66,379 "
171,Mobile Programming,Programmer Analyst,64,"$67,505 "
170,Erp And Erp,Programmer Analyst,64,"$68,408 "
51,Altimetrik,Software Engineer,64,"$92,098 "
182,Vectra Infosys,Programmer Analyst,63,"$56,117 "
181,It Echelon,Programmer Analyst,63,"$60,025 "
7,Sunray Enterprise,Programmer/Analyst,63,"$60,378 "
6,Vector Systems,Programmer/Analyst,63,"$60,381 "
180,Quest It Solutions,Programmer Analyst,63,"$60,810 "
18,Smart Source Usa,Computer Programmer,63,"$61,284 "
27,Imetris,Systems Analyst,63,"$61,810 "
179,Sysintelli,Programmer Analyst,63,"$62,746 "
178,Cnet Global Solutions,Programmer Analyst,63,"$63,127 "
177,"Global Information Technology,",Programmer Analyst,63,"$63,141 "
176,Spectra Group,Programmer Analyst,63,"$65,371 "
184,Accenz,Programmer Analyst,62,"$60,634 "
2,Lenmar Consulting,Developer,62,"$60,747 "
19,It Vertex,Computer Programmer,62,"$69,202 "
183,Finsoft Consultants,Programmer Analyst,62,"$74,034 "
3,Populus Group,Java Developer,62,"$106,144 "
55,Stem Xpert,Software Engineer,61,"$60,229 "
54,Openlogix,Software Engineer,61,"$76,033 "
3,Headstrong Services,Developer,61,"$79,644 "
189,Invensys,Programmer Analyst,60,"$55,499 "
188,Business Intelli Solutions,Programmer Analyst,60,"$59,475 "
187,Digital Minds Technologies,Programmer Analyst,60,"$60,083 "
18,S4 Global Technologies,Computer Systems Analyst,60,"$60,898 "
186,Dr Technologies,Programmer Analyst,60,"$62,683 "
185,Damian Consulting,Programmer Analyst,60,"$62,709 "
29,Saipsit,Systems Analyst,60,"$64,817 "
12,Appsintegration,Computer Programmer Analyst,60,"$68,396 "
20,Webject Systems,Computer Programmer,60,"$74,401 "
11,Droisys,Computer Programmer Analyst,60,"$81,955 "
56,Intel Mobile Communications North America,Software Engineer,60,"$112,285 "
8,Genome International,Programmer/Analyst,59,"$61,356 "
194,Core It Solutions,Programmer Analyst,59,"$62,000 "
193,Proficient Business Systems,Programmer Analyst,59,"$62,660 "
192,Gomiapp,Programmer Analyst,59,"$63,415 "
191,Gokatech,Programmer Analyst,59,"$64,277 "
190,Prospance,Programmer Analyst,59,"$79,887 "
29,Saras America,Software Developer,58,"$58,917 "
28,American It Resource Group,Software Developer,58,"$64,638 "
196,Stellent Solutions,Programmer Analyst,58,"$65,966 "
30,It America,Systems Analyst,58,"$67,119 "
195,Charter Global,Programmer Analyst,58,"$73,623 "
59,Indsoft,Software Engineer,58,"$78,198 "
5,Sap Labs,Developer,58,"$98,933 "
58,American Express Travel Related Services,Software Engineer,58,"$100,287 "
57,Twitter,Software Engineer,58,"$132,712 "
201,Anitsys,Programmer Analyst,57,"$59,386 "
200,Swanktek,Programmer Analyst,57,"$67,576 "
198,3core Systems,Programmer Analyst,57,"$70,814 "
30,Everest Computers,Software Developer,57,"$76,588 "
60,Square,Software Engineer,57,"$121,063 "
31,Software Global,Systems Analyst,56,"$62,605 "
207,Fatpipe Technologies,Programmer Analyst,56,"$63,006 "
206,Ameex Technologies,Programmer Analyst,56,"$63,092 "
205,Infologitech,Programmer Analyst,56,"$63,642 "
61,Octahedron,Software Engineer,56,"$64,074 "
204,Strategic Systems,Programmer Analyst,56,"$64,123 "
203,"Devcare Solutions,",Programmer Analyst,56,"$65,402 "
202,Sapvix,Programmer Analyst,56,"$66,290 "
21,Techdemocracy,Computer Programmer,56,"$69,777 "
19,Horizon Technologies,Computer Systems Analyst,56,"$86,411 "
3,Iris Software,Application Developer,56,"$111,088 "
31,Software Technology Labs,Software Developer,55,"$53,145 "
214,Azhvas,Programmer Analyst,55,"$59,818 "
24,Karwell Technologiies,Computer Programmer,55,"$60,000 "
213,Qison,Programmer Analyst,55,"$62,349 "
212,Sapphire It Services,Programmer Analyst,55,"$65,055 "
23,Navitas Business Consulting,Computer Programmer,55,"$66,778 "
211,Mudiam,Programmer Analyst,55,"$66,818 "
62,Humac,Software Engineer,55,"$71,873 "
210,Saturn Tech,Programmer Analyst,55,"$73,168 "
209,Anjus,Programmer Analyst,55,"$79,537 "
208,Network Objects,Programmer Analyst,55,"$82,232 "
13,Netflix,Senior Software Engineer,55,"$169,217 "
219,Crom Technology,Programmer Analyst,54,"$62,037 "
218,Isprint Technologies,Programmer Analyst,54,"$63,704 "
66,Lorven Applications,Software Engineer,54,"$64,066 "
217,Zenith Services,Programmer Analyst,54,"$66,009 "
32,Horizon Consulting,Systems Analyst,54,"$69,349 "
216,Kaizen Technologies,Programmer Analyst,54,"$71,668 "
6,Nagarro,Developer,54,"$72,593 "
215,Macrosoft,Programmer Analyst,54,"$89,167 "
225,Bizcloud Analytics,Programmer Analyst,53,"$63,585 "
224,Yana Software,Programmer Analyst,53,"$63,906 "
223,Mudrasys.,Programmer Analyst,53,"$64,486 "
17,Concepts Information Technology,Business Analyst,53,"$65,304 "
222,Siritek,Programmer Analyst,53,"$71,226 "
221,Texara Solutions,Programmer Analyst,53,"$82,357 "
220,Prelude Systems,Programmer Analyst,53,"$86,553 "
13,Comtec Consultants,Computer Programmer Analyst,53,"$88,038 "
68,Citrix Systems,Software Engineer,53,"$98,165 "
72,Mindtree,Software Engineer,52,"$66,700 "
14,Photon Infotech,Senior Software Engineer,52,"$70,724 "
4,Collaborate Solutions,Java Developer,52,"$70,784 "
20,Blue Star Infotech America,Computer Systems Analyst,52,"$71,779 "
71,It People,Software Engineer,52,"$72,333 "
70,Aol,Software Engineer,52,"$91,312 "
32,Bloomberg,Software Developer,52,"$130,192 "
69,Mitchell/Martin,Software Engineer,52,"$135,820 "
21,Cogent Integrated Business Solutions,Computer Systems Analyst,51,"$60,256 "
34,Lera Technologies,Software Developer,51,"$62,139 "
33,Quinnox,Software Developer,51,"$68,997 "
18,American Technology Consulting,Business Analyst,51,"$80,118 "
33,Global Infotech,Systems Analyst,50,"$72,600 "
26,Peakpoint Technologies,Computer Programmer,50,"$76,580 "
16,Client Network Services,Senior Software Engineer,50,"$95,360 "
19,Rsr Unlimited,Business Analyst,49,"$65,816 "
75,Etouch Systems,Software Engineer,49,"$87,398 "
28,Aqua Information Systems,Computer Programmer,48,"$61,883 "
77,Spectrum Logix,Software Engineer,48,"$62,728 "
5,Katalyst Technologies,Java Developer,48,"$75,069 "
27,R Systems,Computer Programmer,48,"$79,326 "
37,Vensar Technology,Software Developer,47,"$60,606 "
35,Northstar Technologies,Systems Analyst,47,"$62,255 "
22,Genuineit,Computer Systems Analyst,47,"$62,775 "
29,American Professionals,Computer Programmer,47,"$63,824 "
36,Mentis Solutions,Software Developer,47,"$66,998 "
79,Sagitec Solutions,Software Engineer,47,"$71,098 "
78,"Sasken Communication Technologies,",Software Engineer,47,"$82,385 "
34,Alpha Net Consulting,Systems Analyst,47,"$88,081 "
37,Adept Scripts,Systems Analyst,46,"$61,943 "
82,Infovision,Software Engineer,46,"$69,149 "
18,General Electric Company,Senior Software Engineer,46,"$134,048 "
81,Lyft,Software Engineer,46,"$146,848 "
32,Innovate Solutions,Computer Programmer,45,"$59,661 "
42,Polygon It Solutions,Software Developer,45,"$60,000 "
25,Infosytech Solutions,Computer Systems Analyst,45,"$62,988 "
24,Btree Solutions,Computer Systems Analyst,45,"$64,467 "
41,Keymouz Technologies,Software Developer,45,"$65,600 "
40,Maruthi Technologies (DBA: Anblicks),Software Developer,45,"$66,687 "
31,Aption,Computer Programmer,45,"$67,733 "
86,Argha Services,Software Engineer,45,"$68,556 "
21,Primesoft,Business Analyst,45,"$71,242 "
39,Talent It Services,Software Developer,45,"$71,844 "
85,Stat9 Technologies,Software Engineer,45,"$72,333 "
84,Amiti Consulting,Software Engineer,45,"$77,830 "
38,Mastech Resourcing,Software Developer,45,"$83,510 "
10,Polar It Services,Programmer/Analyst,45,"$92,338 "
11,Etelligent Group,Programmer/Analyst,44,"$58,053 "
33,Concept Software & Services,Computer Programmer,44,"$61,052 "
45,Engineering Technology Associates,Software Developer,44,"$64,724 "
38,Prime Solutions,Systems Analyst,44,"$69,507 "
44,Infomatics,Software Developer,44,"$72,268 "
89,Valsatech,Software Engineer,44,"$72,624 "
43,Youngsoft,Software Developer,44,"$73,511 "
88,Tableau Software,Software Engineer,44,"$111,857 "
87,Yourpeople,Software Engineer,44,"$139,338 "
14,Worldscape,Computer Programmer Analyst,43,"$60,735 "
34,Info Way Solutions,Computer Programmer,43,"$60,851 "
48,Usr Systems,Software Developer,43,"$61,000 "
40,Web Yoga,Systems Analyst,43,"$65,093 "
93,Quest Global Services-Na,Software Engineer,43,"$69,223 "
92,Satin Solutions,Software Engineer,43,"$69,419 "
47,Clutchpoint,Software Developer,43,"$72,326 "
39,Globus It,Systems Analyst,43,"$80,465 "
26,Xoriant Corporation,Computer Systems Analyst,43,"$86,221 "
91,Intelliswift Software,Software Engineer,43,"$104,053 "
46,Hulu,Software Developer,43,"$122,558 "
12,Identity And Access Solutions,Programmer/Analyst,42,"$58,053 "
36,Cloud Source,Computer Programmer,42,"$61,094 "
27,Pvr America,Computer Systems Analyst,42,"$62,841 "
41,Intriv,Systems Analyst,42,"$65,857 "
99,Qualihi Software Solutions,Software Engineer,42,"$68,643 "
98,Quest Global,Software Engineer,42,"$70,890 "
97,Epace Technologies,Software Engineer,42,"$74,658 "
21,Epam Systems,Senior Software Engineer,42,"$86,429 "
49,Orion Systems Integrators,Software Developer,42,"$96,120 "
96,"Wisdom Infotech,",Software Engineer,42,"$99,653 "
95,Indeed,Software Engineer,42,"$107,541 "
44,Gold Coast It Solutions,Systems Analyst,41,"$60,170 "
40,Sunfix Technologies,Computer Programmer,41,"$60,366 "
39,Cosmic-I,Computer Programmer,41,"$60,550 "
23,Precision Technologies,Business Analyst,41,"$61,541 "
